"id","question_text","question_act_ind","last_updated_by","last_updated_dts","question_mandatory_ind","question_decision_ind","question_type_id","questionnaire_id","document_id"
"75","What is the ITAM/Ticketing tool used?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"76","Are all the maintenance tickets & SRs logged in ITAM/Ticketing tool? Are there any other mechanism of logging the tickets and SRs?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"77","Please provide the last 12 month ticket dump from the ITAM tool (all sources for incidents, CRs, SRs etc)","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"78","Please provide the list of document inventory available ","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"79","Please provide/validate the SMEs who will be involved in the transition including their role, location, name of the client group, third parties and incumbents ?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"80","Please provide Support Coverage, Availability and SLA requirement for the application","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"81","How many users access the application?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"82","Which are the geographies the users are located in?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"83","Which are the third parties involved in management and support of this application?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"84","What are the different groups involved in this application
* Support/Development
* System administration/DBA
* External interfaces
and what are their responsibilities/hierarchy?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"85","What are the key risks, challenges and dependecies for this application?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"86","Are there any know security vulnerabilities on the application / can we access to any previous Audits ","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"87","Are any elements of the application out of support with the vendor ? If Y, please provide details","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"88","Are there any in-flight development activities in progress/pipeline?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"89","Please provide the list of pending enhancements for the application along with the current state and overall timeline?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"90","Please provide the effort spent on enhancements in terms of effort hours expended and percentage of total team effort.","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"91","Where are the defects logged?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"92","Please provide the critical time periods of support for this application cluster including year-end processing, quarter-end processing, month-end processing, etc.","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"93","What Legal / Regulatory/ Data constraints, if any, exist that would prohibit moving support of this application cluster to Offshore?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"94","Please elaborate on the complexity of  the application cluster in terms of Business rules , programming, interfaces etc. ","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"95","How stable is tha application in terms of number of fixes/tickets raised? Availability? Etc","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"96","Please provide a rating of maintainability on a scale of 1 to 5 - with 1 meaning this application cluster is easily maintainable and 5 meaning it is highly difficult to maintain?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"97","Is there any reverse engineering/impact analysis done on the application using software or commercial products (e.g CAST) in the past?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"98","Are there any IP tools / Scripts/products/application used by vendor or customer? Will that impact transition in any way?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"99","Is the application on cloud? ","true","1","2020-06-04T05:51:56","NULL","false","2","8","NULL"
"100","Are there any long term plans for the application to be moved to private / public cloud ","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"101","Please provide details of the Databases, versions and configurations","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"102","What is the typical size of data (databases etc.)?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"103","Please provide detailed ER(Entity releationship) diagram?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"104","Please provide complete list of tables/views/Stored Procedures/triggers etc?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"105","What are the list of indexes and clusters in the app database?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"106","What are the contact groups/DBA etc. for application support and development?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"107","What are the Database access & access ?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"108","What are the data volumes (min/max/average)?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"109","What is the volatility of the data (Inserts/Updates/Deletes/reads etc)?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"110","What is the procedure to change the database? What are the groups involved in this?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"111","Are there any related instances of the database? What is the replication schedule/procedure?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"112","Are there any DB audit trail requirements?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"113","Are there any documents related to the database of this application? (Documents indicating rules to be followed like, prefixes/ranges/constraints on the data for this app).","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"114","How is the database monitored? Are there any groups involved; their details?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"115","What are the application DBA Activities ? Any Database Server maintenance required?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"116","What are the Database Access (e.g. TOAD for Oracle) tools?","true","1","2020-06-04T05:52:04","NULL","false","3","9","NULL"
"117","What is the client's primary business domain?","true","1","2020-06-04T05:52:37","NULL","false","2","10","NULL"
"118","If selected \"Others\"- please provide the business domain","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"119","Which business unit is the primary owner or sponser of the application?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"120","Which business unit(s)/Subsidiaries utilizes the application?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"121","Which are the geographies the users are located in?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"122","Are there any Geo specif requirements?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"123","What User type the the application addresses?","true","1","2020-06-04T05:52:37","NULL","false","2","10","NULL"
"124","If selected \"Others\"- please provide the user type","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"125","Please provide high level functional overview","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"126","Where does the application fit into the bigger picture of the client's business","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"127","Please provide overview of the application workflow","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"128","What are the other business process interfacing with the current application","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"129","Is this application business critical, if yes, why so?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"130","What is the impact of its breakdown?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"131","What percentage of the business workflow automated? How much manual intervention/inputs are required in the workflow?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"132","Which business related documentation for the application can you provide? ","true","1","2020-06-04T05:52:37","NULL","false","2","10","NULL"
"133","How many Busness SMEs/Business Analyst are allocated to this application?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"134","What are the reports generated by the application?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"135","Does the application have month end, quarter end and year end processes accociated with the application?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"136","If there are period end processes for the application- what are they?","true","1","2020-06-04T05:52:37","NULL","false","3","10","NULL"
"137","Please provide details on this application hardware & Platform?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"138","Please provide the details regarding the environments (prod, test, dev, etc.) available for this application cluster?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"139","Does Production environment have dedicated environment or is it communicty domain?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"140","If it is community domain, how many applications are sharing the server?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"141","If it is community domain, what is the performane impact of other applications?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"142","Is test/development environment available has same software & versions as production environment?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"143","What are the  server details for the environments?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"144","Please provide access/userid-password for all servers/DB instance etc?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"145","Please provide information regarding the availability of scripts/tools used for preparing new environments.","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"146","What is the process of setting up new environments (especially for another location -nearshore/offshore)?","true","1","2020-06-04T06:42:50","NULL","false","3","11","NULL"
"147","What are the applications/systems interfacing with the current application? Further identify the upsteam &  downsteam applications/systems?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"148","Please provide the interface diagram?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"149","Who supports the interfacing applications/systems? Contact of SPOC for each applications/systems?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"150","What are is the interface mechanism used between the applications?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"151","What are the input interfaces and output interfaces?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"152","What are the number of transactions and size of the data flow between the applications/systems?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"153","Are there any known interface issues?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"154","What is the format of data for input and output?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"155","What are the middleware configuration settings?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"156","How to test (simulate) these interfaces while testing?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"157","What are the input/output files and their location etc?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"158","Are there any log files created? Their location?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"159","Is there any monitoring done on the interfaces? How?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"160","Procedures to be followed if an interface goes down?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"161","Any workarounds/frequency of using these workarounds?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"162","List all the applicable Batch jobs associated with the application/system?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"163","What is the Batch Jobs process and frequencies?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"164","What is the after-Hours support for Batch Jobs?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"165","What is the coordination with Operations Desk for On-Request Batch Job runs?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"166","What is the Vendor coordination process for for Interface/product fixes?","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"167","Please provide the details regarding software/scripts used in batch e.g. scheduler, etc.","true","1","2020-06-04T06:43:34","NULL","false","3","12","NULL"
"168","Does the application use any reporting tools/software?  Please provide name and veriosn?","true","1","2020-06-04T06:44:13","NULL","false","3","13","NULL"
"169","What and how many reports are generated by the application?","true","1","2020-06-04T06:44:13","NULL","false","3","13","NULL"
"170","Please provide the formats of all reports.","true","1","2020-06-04T06:44:13","NULL","false","3","13","NULL"
"171","Please provide the validation requirements for all reports","true","1","2020-06-04T06:44:13","NULL","false","3","13","NULL"
"172","Please provide the frequency/Trigger of all reports","true","1","2020-06-04T06:44:13","NULL","false","3","13","NULL"
"173","How is the data refreshed in the test databases? What is the frequency of refresh?","true","1","2020-06-04T05:47:26","NULL","false","3","14","NULL"
"174","What are the Unit/System Testing tool (e.g. Nunit)?","true","1","2020-06-04T05:47:26","NULL","false","3","14","NULL"
"175","What are the Performance Testing tool (e.g.  Mercury Loadrunner)?","true","1","2020-06-04T05:47:26","NULL","false","3","14","NULL"
"176","Have You gone through training manual related to Unit Testing?","true","1","2020-06-04T11:02:05","NULL","false","2","14","NULL"
"177","Does the application use any reporting tools/software?  Please provide name and veriosn?","true","1","2020-06-04T06:44:13","NULL","false","3","15","NULL"
"178","What and how many reports are generated by the application?","true","1","2020-06-04T06:44:13","NULL","false","3","15","NULL"
"179","Have you worked on this tool before?","true","1","2020-06-04T11:10:43","NULL","false","2","15","NULL"
"180","Please provide details of the Databases, versions and configurations","true","1","2020-06-04T05:52:04","NULL","false","3","16","NULL"
"181","What is the typical size of data (databases etc.)?","true","1","2020-06-04T05:52:04","NULL","false","3","16","NULL"
"182","Have you worked on databases before?","true","1","2020-06-04T11:17:41","NULL","false","2","16","NULL"
"183","Tables are the frameworks in which data is stored in databases (Y/N)?","true","1","2020-06-04T11:20:20","NULL","false","1","16","NULL"
"184","Please provide details of the Databases, versions and configurations","true","1","2020-06-04T05:52:04","NULL","false","3","17","NULL"
"185","Please provide detailed ER(Entity releationship) diagram?","true","1","2020-06-04T05:52:04","NULL","false","3","17","NULL"
"186","Please provide complete list of tables/views/Stored Procedures/triggers etc?","true","1","2020-06-04T05:52:04","NULL","false","3","17","NULL"
"187","In the current project which database is being used?","true","1","2020-06-04T11:24:30","NULL","false","1","17","NULL"
"188","How is data stored in databases?","true","1","2020-06-04T11:25:41","NULL","false","3","17","NULL"
"189","How many Entitties are there in the given table in our project?","true","1","2020-06-04T05:52:04","NULL","false","2","18","NULL"
"190","Please provide complete list of tables/views/Stored Procedures/triggers etc?","true","1","2020-06-04T05:52:04","NULL","false","3","18","NULL"
"191","What are the list of indexes and clusters in the app database?","true","1","2020-06-04T05:52:04","NULL","false","3","18","NULL"
"192","Are there any related instances of the database? What is the replication schedule/procedure?","true","1","2020-06-04T05:52:04","NULL","false","3","18","NULL"
